Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,5609.979980,5665.939941,5530.430176,5550.359863,5550.359863,100458200
2008-01-03,5538.200195,5559.049805,5515.609863,5546.080078,5546.080078,117504500
2008-01-04,5543.689941,5567.089844,5417.529785,5446.790039,5446.790039,162947200
2008-01-07,5432.000000,5475.250000,5429.319824,5452.830078,5452.830078,181161800
2008-01-08,5476.509766,5533.930176,5471.140137,5495.669922,5495.669922,174857100
2008-01-09,5459.399902,5463.069824,5420.060059,5435.419922,5435.419922,198041500
2008-01-10,5468.540039,5471.819824,5394.520020,5400.430176,5400.430176,166136700
2008-01-11,5398.490234,5410.910156,5349.250000,5371.410156,5371.410156,178858400
2008-01-14,5345.830078,5421.220215,5343.250000,5403.509766,5403.509766,142891500
2008-01-15,5390.370117,5394.140137,5250.089844,5250.819824,5250.819824,192383100
2008-01-16,5216.220215,5289.049805,5177.680176,5225.390137,5225.390137,233648700
2008-01-17,5278.290039,5278.500000,5150.240234,5157.089844,5157.089844,204957900
2008-01-18,5159.560059,5231.560059,5081.229980,5092.399902,5092.399902,255148000
2008-01-21,5006.479980,5012.529785,4726.759766,4744.450195,4744.450195,365210100
2008-01-22,4544.790039,4903.990234,4505.140137,4842.540039,4842.540039,463552500
2008-01-23,4950.000000,4950.000000,4591.240234,4636.759766,4636.759766,353541900
2008-01-24,4816.990234,4916.979980,4773.529785,4915.290039,4915.290039,323092800
2008-01-25,5001.569824,5001.569824,4855.430176,4878.120117,4878.120117,232316200
2008-01-28,4791.500000,4854.339844,4755.979980,4848.299805,4848.299805,166274300
2008-01-29,4893.379883,4949.399902,4868.009766,4941.450195,4941.450195,167172600
2008-01-30,4911.729980,4911.799805,4841.299805,4873.569824,4873.569824,178151400
2008-01-31,4863.370117,4907.669922,4762.729980,4869.790039,4869.790039,216186900
2008-02-01,4935.790039,5009.160156,4927.180176,4978.060059,4978.060059,225981000
2008-02-04,5027.259766,5027.259766,4954.930176,4973.640137,4973.640137,131717900
2008-02-05,4970.089844,4970.790039,4767.450195,4776.859863,4776.859863,200152000
2008-02-06,4729.410156,4823.029785,4729.410156,4816.430176,4816.430176,211346000
2008-02-07,4792.560059,4797.540039,4683.060059,4723.799805,4723.799805,221349300
2008-02-08,4764.859863,4789.379883,4679.799805,4709.649902,4709.649902,224328000
2008-02-11,4653.149902,4734.729980,4644.740234,4682.700195,4682.700195,154090700
2008-02-12,4728.779785,4846.970215,4676.100098,4840.709961,4840.709961,196522500
2008-02-13,4791.819824,4887.310059,4781.500000,4855.399902,4855.399902,168735900
2008-02-14,4923.970215,4926.330078,4835.770020,4858.649902,4858.649902,177895400
2008-02-15,4857.490234,4877.660156,4743.930176,4771.790039,4771.790039,175653200
2008-02-18,4810.290039,4879.229980,4810.290039,4861.799805,4861.799805,99598200
2008-02-19,4844.520020,4940.359863,4806.169922,4885.830078,4885.830078,153181200
2008-02-20,4828.359863,4866.899902,4779.140137,4812.810059,4812.810059,168788700
2008-02-21,4854.100098,4905.169922,4834.040039,4858.850098,4858.850098,162398400
2008-02-22,4818.729980,4878.180176,4786.669922,4824.549805,4824.549805,162038700
2008-02-25,4877.890137,4925.939941,4870.410156,4919.259766,4919.259766,143544400
2008-02-26,4955.709961,4980.649902,4917.149902,4973.069824,4973.069824,176562600
2008-02-27,4990.629883,4992.770020,4892.589844,4968.819824,4968.819824,182277000
2008-02-28,4939.149902,4964.089844,4856.049805,4865.229980,4865.229980,178539100
2008-02-29,4837.009766,4873.020020,4768.529785,4790.660156,4790.660156,196078300
2008-03-03,4723.220215,4764.149902,4698.000000,4742.660156,4742.660156,150295500
2008-03-04,4749.069824,4782.859863,4655.250000,4675.910156,4675.910156,163286600
2008-03-05,4723.100098,4767.589844,4689.029785,4756.419922,4756.419922,141700700
2008-03-06,4767.040039,4767.040039,4664.140137,4678.049805,4678.049805,158195900
2008-03-07,4630.569824,4661.879883,4576.589844,4618.959961,4618.959961,198919200
2008-03-10,4601.709961,4625.979980,4534.580078,4566.990234,4566.990234,158091800
2008-03-11,4589.879883,4683.180176,4566.950195,4627.689941,4627.689941,189545700
2008-03-12,4716.919922,4741.890137,4678.620117,4697.100098,4697.100098,196215200
2008-03-13,4610.990234,4642.200195,4547.089844,4630.189941,4630.189941,197888900
2008-03-14,4632.109863,4707.830078,4544.620117,4592.149902,4592.149902,214275200
2008-03-17,4449.390137,4505.970215,4416.709961,4431.040039,4431.040039,249766000
2008-03-18,4502.640137,4593.000000,4481.799805,4582.589844,4582.589844,223507000
2008-03-19,4635.020020,4652.669922,4533.180176,4555.950195,4555.950195,248269200
2008-03-20,4510.970215,4553.279785,4480.870117,4533.720215,4533.720215,290932000
2008-03-25,4692.169922,4699.899902,4647.540039,4692.000000,4692.000000,206193300
2008-03-26,4658.509766,4693.620117,4647.919922,4676.680176,4676.680176,153864400
2008-03-27,4667.990234,4750.629883,4664.970215,4719.529785,4719.529785,150671700
2008-03-28,4722.950195,4740.779785,4679.529785,4695.919922,4695.919922,115984400
2008-03-31,4648.540039,4711.779785,4622.259766,4707.069824,4707.069824,142322200
2008-04-01,4689.649902,4876.839844,4681.240234,4866.000000,4866.000000,188525000
2008-04-02,4906.060059,4923.399902,4856.390137,4911.970215,4911.970215,173182300
2008-04-03,4926.370117,4926.370117,4853.959961,4887.870117,4887.870117,151866000
2008-04-04,4914.419922,4919.959961,4848.669922,4900.879883,4900.879883,141401200
2008-04-07,4936.250000,4959.970215,4926.669922,4944.600098,4944.600098,128312000
2008-04-08,4908.160156,4914.430176,4878.729980,4912.689941,4912.689941,113384100
2008-04-09,4888.919922,4924.569824,4868.189941,4874.970215,4874.970215,127023000
2008-04-10,4875.479980,4880.589844,4789.629883,4859.419922,4859.419922,161154900
2008-04-11,4891.839844,4917.890137,4775.160156,4797.930176,4797.930176,153178100
2008-04-14,4755.069824,4793.629883,4750.279785,4766.490234,4766.490234,119717800
2008-04-15,4801.000000,4820.750000,4741.060059,4780.680176,4780.680176,118835800
2008-04-16,4820.270020,4863.060059,4789.279785,4855.100098,4855.100098,181523100
2008-04-17,4877.069824,4900.660156,4834.220215,4862.140137,4862.140137,165843700
2008-04-18,4882.290039,4976.370117,4878.399902,4961.689941,4961.689941,192982500
2008-04-21,4954.490234,4961.310059,4885.129883,4910.350098,4910.350098,134671700
2008-04-22,4887.279785,4930.160156,4849.879883,4872.640137,4872.640137,128651100
2008-04-23,4888.140137,4951.049805,4850.910156,4944.649902,4944.649902,155547700
2008-04-24,4916.560059,4942.819824,4861.220215,4929.549805,4929.549805,138180000
2008-04-25,4954.290039,5013.439941,4950.899902,4978.209961,4978.209961,161354600
2008-04-28,4989.919922,5030.759766,4986.439941,5012.750000,5012.750000,94535600
2008-04-29,4986.120117,5013.049805,4957.779785,4977.100098,4977.100098,132602200
2008-04-30,4976.560059,5006.479980,4935.100098,4996.540039,4996.540039,152666500
2008-05-02,5057.520020,5099.390137,5028.569824,5069.709961,5069.709961,162669700
2008-05-05,5062.700195,5078.720215,5048.240234,5063.359863,5063.359863,70413600
2008-05-06,5052.709961,5067.839844,5011.120117,5040.919922,5040.919922,121975800
2008-05-07,5058.779785,5100.100098,5041.569824,5075.310059,5075.310059,133948700
2008-05-08,5029.020020,5066.870117,5025.209961,5055.580078,5055.580078,109887100
2008-05-09,5001.000000,5004.580078,4925.049805,4960.560059,4960.560059,128284100
2008-05-12,4975.089844,5011.270020,4954.669922,4976.209961,4976.209961,74711800
2008-05-13,5001.979980,5017.279785,4951.370117,4998.669922,4998.669922,144607000
2008-05-14,5036.669922,5067.970215,4992.140137,5055.240234,5055.240234,153916500
2008-05-15,5045.680176,5060.279785,5020.390137,5057.509766,5057.509766,130183800
2008-05-16,5090.750000,5120.910156,5058.790039,5078.040039,5078.040039,147461700
2008-05-19,5090.529785,5142.100098,5076.120117,5142.100098,5142.100098,118892400
2008-05-20,5091.450195,5104.740234,5041.220215,5054.879883,5054.879883,142400200
2008-05-21,5065.279785,5080.729980,5003.089844,5027.549805,5027.549805,157355300
