Date,Positve,Negative,Neutral,Total
2017-09-09,28.35820895522388,10.945273631840797,60.69651741293532,201
2017-09-10,30.01107419712071,9.080841638981173,60.90808416389812,903
2017-09-11,28.14070351758794,10.150753768844222,61.70854271356784,995
2017-09-12,25.688976377952756,10.9251968503937,63.38582677165354,1016
2017-09-13,35.95505617977528,8.828250401284109,55.21669341894061,1246
2017-09-14,29.343629343629345,13.803088803088803,56.85328185328186,1036
2017-09-15,32.08685162846803,10.132689987937274,57.78045838359469,829
2017-09-16,30.232558139534884,10.20671834625323,59.56072351421189,774
2017-09-17,29.744136460554373,9.275053304904052,60.98081023454158,938
2017-09-18,30.257510729613735,11.158798283261802,58.58369098712446,932
2017-09-19,25.925925925925927,9.670781893004115,64.40329218106996,972
2017-09-20,23.917525773195877,9.278350515463918,66.80412371134021,970
2017-09-21,29.207383279044517,9.229098805646037,61.56351791530945,921
2017-09-22,31.6079295154185,10.682819383259911,57.709251101321584,908
2017-09-23,26.482758620689655,8.551724137931034,64.96551724137932,725
2017-09-24,27.15466351829988,10.625737898465172,62.21959858323495,847
2017-09-25,25.82469368520264,8.953817153628652,65.2214891611687,1061
2017-09-26,27.45098039215686,9.25925925925926,63.289760348583876,918
2017-09-27,27.205882352941178,8.823529411764707,63.970588235294116,952
2017-09-28,25.711481844946025,11.579980372914623,62.70853778213935,1019
2017-09-29,30.943847072879333,11.469534050179211,57.58661887694146,837
2017-09-30,29.166666666666668,11.805555555555555,59.02777777777778,720
2017-10-01,28.894173602853744,10.582639714625445,60.52318668252081,841
2017-10-02,26.86390532544379,9.349112426035504,63.78698224852071,845
2017-10-03,29.262672811059907,9.44700460829493,61.29032258064516,868
2017-10-04,30.023923444976077,9.090909090909092,60.88516746411483,836
2017-10-05,27.440347071583513,12.147505422993492,60.41214750542299,922
2017-10-06,30.672748004561004,8.665906499429875,60.66134549600912,877
2017-10-07,35.80562659846547,11.12531969309463,53.069053708439895,782
2017-10-08,31.57894736842105,12.046783625730994,56.37426900584796,855
2017-10-09,29.278887923544744,11.989574283231972,58.73153779322328,1151
2017-10-10,32.48587570621469,8.945386064030131,58.568738229755176,1062
2017-10-11,31.25,10.87962962962963,57.870370370370374,864
2017-10-12,29.11944202266783,9.67741935483871,61.20313862249346,1147
2017-10-13,30.677290836653388,12.05179282868526,57.27091633466136,1004
2017-10-14,32.1608040201005,10.804020100502512,57.03517587939699,796
2017-10-15,27.198364008179958,10.020449897750511,62.78118609406953,978
2017-10-16,31.61512027491409,14.003436426116838,54.381443298969074,1164
2017-10-17,32.19616204690831,9.914712153518124,57.88912579957356,938
2017-10-18,30.897435897435898,10.76923076923077,58.333333333333336,780
2017-10-19,36.81818181818182,12.613636363636363,50.56818181818182,880
2017-10-20,34.11042944785276,13.251533742331288,52.63803680981595,815
2017-10-21,28.975741239892184,13.20754716981132,57.8167115902965,742
2017-10-22,24.78448275862069,9.806034482758621,65.40948275862068,928
