Date,Positve,Negative,Neutral,Total
2017-09-09,25.709515859766277,9.348914858096828,64.9415692821369,599
2017-09-10,26.740331491712706,10.128913443830571,63.13075506445672,2715
2017-09-11,24.728326491185705,7.510263221444095,67.7614102873702,4141
2017-09-12,27.546695966096376,5.352377962643227,67.1009260712604,6371
2017-09-13,32.912391475927386,6.250986582478295,60.836621941594316,6335
2017-09-14,31.065325027950806,4.472129052866954,64.46254591918223,6261
2017-09-15,32.03996282527881,5.762081784386617,62.19795539033457,4304
2017-09-16,27.22984562607204,5.4030874785591765,67.36706689536878,2332
2017-09-17,25.332424139106717,4.432321854756222,70.23525400613705,2933
2017-09-18,31.71499585749793,4.921292460646231,63.36371168185584,6035
2017-09-19,34.66623143463359,4.569936347315163,60.76383221805125,6127
2017-09-20,27.88442893154935,4.556912933876284,67.55865813457436,5157
2017-09-21,25.42749658002736,7.045143638850889,67.52735978112175,5848
2017-09-22,24.312431243124312,3.4983498349834985,72.18921892189219,4545
2017-09-23,25.15964240102171,5.151128139633887,69.6892294593444,2349
2017-09-24,23.74900714853058,5.281969817315329,70.96902303415409,2518
2017-09-25,23.314665007259904,5.621240406554657,71.06409458618543,4821
2017-09-26,31.724278993659237,3.968091634281039,64.30762937205972,4889
2017-09-27,34.49092344119968,5.939226519337017,59.5698500394633,5068
2017-09-28,37.81774165657963,4.599688742867024,57.58256960055335,5783
2017-09-29,31.513260530421217,5.281925562736795,63.20481390684199,4487
2017-09-30,29.50401167031364,6.601021152443472,63.89496717724289,2742
2017-10-01,31.033153430994602,3.6622976098689284,65.30454895913647,2594
2017-10-02,28.51010101010101,6.388888888888889,65.1010101010101,3960
2017-10-03,29.102944533211595,6.459712394430495,64.4373430723579,4381
2017-10-04,29.58899338209683,10.466736328805295,59.94427028909787,5742
2017-10-05,27.919127669241252,5.043162199000454,67.03771013175829,4402
2017-10-06,24.8062015503876,9.689922480620154,65.50387596899225,3612
2017-10-07,24.32687765706188,7.746811525743977,67.92631081719415,2117
2017-10-08,24.470416362308253,8.473338203067932,67.05624543462382,1369
2017-10-09,23.72479240806643,6.524317912218268,69.7508896797153,843
2017-10-10,26.761363636363637,5.965909090909091,67.27272727272727,5280
2017-10-11,27.146619841966636,4.846356453028973,68.00702370500439,5695
2017-10-12,24.147781374976194,4.70386593029899,71.14835269472482,5251
2017-10-13,21.1872826626925,4.719324391455539,74.09339294585196,4026
2017-10-14,20.571428571428573,4.259740259740259,75.16883116883118,1925
2017-10-15,36.70490093847758,3.6148766075773375,59.680222453945085,2877
2017-10-16,34.67700915564598,6.8158697863682605,58.507121057985756,7864
2017-10-17,26.21448212648946,6.088778316092706,67.69673955741783,7637
2017-10-18,31.41019297377536,5.4527461652647204,63.13706086095992,10105
2017-10-19,33.758086649676535,6.15565575377377,60.08625759654969,5101
2017-10-20,25.535271579896328,4.958305161144918,69.50642325895876,4437
2017-10-21,22.540983606557376,4.754098360655738,72.70491803278688,2440
2017-10-22,23.403305046895937,4.912907548012505,71.68378740509156,2239
2017-10-23,26.82555780933063,7.986815415821501,65.18762677484787,3944
2017-10-24,25.28712472294983,7.6969574853919,67.01591779165827,4963
2017-10-25,34.38039351052813,5.55747324818778,60.06213324128409,5794
2017-10-26,24.367622259696457,5.851602023608769,69.78077571669478,5930
2017-10-27,28.312629399585923,7.919254658385094,63.768115942028984,3864
2017-10-28,23.976342129208373,6.096451319381256,69.92720655141038,2198
