Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2011-10-04,374.57,381.8,354.24,372.5,44059900.0,0.0,1.0,47.96452971411494,48.89034745134176,45.361227556739934,47.69946156528236,308419300.0
2011-10-05,367.86,379.82,360.3,378.25,28088200.0,0.0,1.0,47.10529914471079,48.63680400463234,46.13722416636573,48.43576197870618,196617400.0
2011-10-06,373.33,384.78,371.8045,377.37,29020800.0,0.0,1.0,47.80574492930702,49.271943143864014,47.61040122831953,48.323076002390884,203145600.0
2011-10-07,375.78,377.74,368.489,369.8,19123500.0,0.0,1.0,48.11947293154847,48.37045533334164,47.18584400732706,47.3537205015877,133864500.0
2011-10-10,379.09,388.81,378.21,388.81,15804100.0,0.0,1.0,48.54332586518896,49.78799369448976,48.43063988887367,49.78799369448976,110628700.0
2011-10-11,392.57,403.18,391.5,400.29,21631700.0,0.0,1.0,50.26947013874603,51.62810446682025,50.13245423572629,51.25803347642115,151421900.0
2011-10-12,407.34,409.25,400.14,402.19,22224500.0,0.0,1.0,52.160801809401654,52.40538159890418,51.23882563954922,51.50133274346554,155571500.0
2011-10-13,404.98,408.43,402.85,408.43,15220900.0,0.0,1.0,51.85859850928336,52.300378757337654,51.58584722570202,52.300378757337654,106546300.0
2011-10-14,416.83,422.0,415.27,422.0,20477400.0,0.0,1.0,53.37601762216549,54.03804773301787,53.17625611869747,54.03804773301787,143341800.0
2011-10-17,421.74,426.7,415.94,419.99,24501600.0,0.0,1.0,54.00475414910653,54.63989328833821,53.26205112339207,53.78066271893407,171511200.0
2011-10-18,421.76,424.8067,415.99,422.24,31485800.0,0.0,1.0,54.00731519402279,54.397451971340764,53.26845373568271,54.06878027201295,220400600.0
2011-10-19,401.35,408.419,397.8,398.62,39430700.0,0.0,1.0,51.39376885698276,52.29897018263371,50.93918338434718,51.044186225913705,276014900.0
2011-10-20,400.0,400.35,394.21,395.31,19616800.0,0.0,1.0,51.22089832513542,51.26571661116992,50.479475821879085,50.62033329227321,137317600.0
2011-10-21,398.1,399.14,390.75,392.87,22187300.0,0.0,1.0,50.97759905809103,51.11077339373638,50.03641505136667,50.307885812489886,155311100.0
2011-10-24,396.18,406.5,395.4,405.77,17933500.0,0.0,1.0,50.73173874613038,52.053237922918875,50.63185799439636,51.9597597834755,125534500.0
2011-10-25,405.03,406.55,397.38,397.77,15372400.0,0.0,1.0,51.865001121574,52.05964053520952,50.885401441105785,50.93534181697279,107606800.0
2011-10-26,401.76,402.55,393.151,400.6,16296600.0,0.0,1.0,51.44627027776602,51.54743155195816,50.34386849356329,51.29772967262313,114076200.0
2011-10-27,407.56,409.0,401.89,404.69,17666600.0,0.0,1.0,52.18897330348048,52.37336853745097,51.462917069721684,51.82146335799764,123666200.0
2011-10-28,403.0,406.35,402.51,404.95,11530100.0,0.0,1.0,51.60505506257394,52.03403008604695,51.542309462125644,51.854756941908974,80710700.0
2011-10-31,402.42,409.33,401.05,404.78,13767900.0,0.0,1.0,51.53078476000249,52.4156257785692,51.355353183238904,51.83298806012079,96375300.0
2011-11-01,397.41,399.5,393.22,396.51,18992500.0,0.0,1.0,50.88924300848017,51.156872202229,50.35270409852438,50.77399598724861,132947500.0
2011-11-02,400.09,400.44,395.11,397.41,11691100.0,0.0,1.0,51.23242302725858,51.27724131329307,50.594722843110645,50.88924300848017,81837700.0
2011-11-03,399.07,403.4,395.36,403.07,15763800.0,0.0,1.0,51.10180973652948,51.65627596089907,50.62673590456385,51.61401871978084,110346600.0
2011-11-04,402.03,403.44,399.16,400.24,10793900.0,0.0,1.0,51.48084438413548,51.661398050731584,51.11333443865264,51.251630864130505,75557300.0
2011-11-07,399.91,400.0,396.13,399.73,9652700.0,0.0,1.0,51.20937362301227,51.22089832513542,50.72533613383974,51.18632421876596,67568900.0
2011-11-08,402.21,408.0,401.56,406.23,14301500.0,0.0,1.0,51.503893788381795,52.24531629163813,51.42065982860345,52.018663816549406,100110500.0
2011-11-09,396.97,400.89,394.23,395.28,19953000.0,0.0,1.0,50.832900020322526,51.334864823908845,50.48203686679535,50.61649172489882,139671000.0
2011-11-10,397.03,397.21,382.15,385.22,26598300.0,0.0,1.0,50.840583155071286,50.8636325593176,48.93516573737625,49.328286132021674,186188100.0
2011-11-11,386.61,388.7,380.26,384.62,23349500.0,0.0,1.0,49.506278753701515,49.77390794745035,48.69314699278999,49.25145478453397,163446500.0
2011-11-14,383.5201,385.25,378.2,379.26,15460900.0,0.0,1.0,49.110610119364424,49.332127699396054,48.42935936641554,48.56509474697715,108226300.0
2011-11-15,380.8,389.5,379.45,388.83,15386100.0,0.0,1.0,48.76229520552892,49.876349744100615,48.58942467368159,49.79055473940601,107702700.0
2011-11-16,389.25,391.14,384.32,384.77,12471800.0,0.0,1.0,49.84433668264741,50.08635542723367,49.21303911079011,49.27066262140589,87302600.0
